-0.572	0.351	-0.225	0.656
-0.756	0.158	-0.29	0.108
-0.265	0.287	-0.422	-0.411
-0.142	0.544	-0.685	1.118
-0.572	0.222	-0.027	0.195
-0.142	1.187	-0.356	1.464
-1.432	-1.643	-0.25	-0.556
-1.432	-2.029	-0.014	-0.238
-1.125	-1.707	-0.053	-0.152
-0.449	-1.192	-1.276	-0.152
-0.142	-0.549	-0.974	-0.325
-0.02	0.287	-0.474	0.281
1.024	0.737	-0.225	0.627
1.454	1.38	-0.093	-0.498
0.656	0.415	-0.974	-0.238
-0.081	-0.549	-0.409	-0.96
-0.388	-1	-0.08	-1.364
-0.695	-0.807	-0.382	-0.585
-0.756	-0.678	-0.225	-0.354
-0.695	-0.485	-0.304	-0.036
-0.879	-0.935	-0.08	-0.758
-0.818	-1.257	0.197	-0.411
-1.002	-1.321	0.46	-0.036
-0.204	-0.871	1.077	-0.094
-0.818	-1.321	1.288	-0.44
-0.511	-1.064	0.722	-0.556
-0.695	-1.192	0.985	-0.758
-0.265	-0.742	0.131	-0.989
0.042	-0.485	0.183	-1.248
-1.063	-1.257	0.578	-1.768
-1.8	-1.964	0.17	-0.7
-1.677	-1.964	-0.369	0.339
-1.493	-2.029	-0.501	0.685
-1.248	-1.9	0.328	0.743
-1.002	-1.385	0.854	-0.642
-0.511	-0.807	1.156	-1.162
0.226	-0.292	0.644	-0.758
-0.449	-0.742	0.578	-0.527
-0.388	-0.678	0.959	-0.267
0.042	-0.292	1.038	-0.556
0.472	-0.228	0.867	-0.585
-0.142	-0.356	1.63	-0.671
-0.081	-0.356	1.38	-1.364
-0.204	-0.549	1.551	-1.623
0.103	0.03	1.235	-1.854
0.042	0.094	0.736	-1.306
-0.265	-0.356	0.92	-1.104
-1.125	-1.064	2.129	-0.729
-1.125	-1.128	1.866	-0.844
-1.125	-1.064	1.248	-0.758
-1.677	-1.836	1.196	-0.613
-2.537	-2.672	1.169	-0.585
-2.476	-3.058	0.381	0.108
-2.353	-2.607	-0.119	1.724
-1.862	-2.286	1.327	0.281
-1.923	-2.35	0.381	0.483
-2.169	-2.286	1.051	-0.123
-1.555	-1.771	1.406	0.425
-1.063	-1.128	0.525	0.541
-0.941	-1.128	0.578	0.512
-0.572	-1.064	0.131	-0.094
-0.756	-1.257	-0.04	0.137
-1.186	-1.707	0.367	0.166
-1.186	-1.578	0.407	0.425
-1.063	-1.578	0.407	0.685
-0.695	-1.064	0.394	0.627
-0.879	-0.807	0.367	-0.007
-1.186	-0.871	0.197	-1.566
-1.493	-1.321	-0.08	-1.364
-2.66	-2.093	-0.448	-0.7
-2.905	-2.157	0.749	-0.613
-1.923	-2.029	0.433	-0.354
-1.984	-1.707	0.394	-0.469
-2.046	-1.836	0.657	0.425
-1.8	-2.093	0.078	0.483
-1.186	-1.321	-0.053	0.599
-1.125	-1.514	0.065	-1.191
-1.432	-1.578	-0.54	-1.393
-2.967	-2.543	0.394	-0.787
-2.721	-2.35	1.485	-1.017
-0.818	-0.807	0.893	-0.181
-0.695	-0.742	0.722	-0.065
-1.677	-1.643	1.314	-0.325
-2.23	-1.836	1.985	-0.296
-1.616	-1.321	1.63	-0.498
-0.756	-0.871	-0.277	-1.277
-1.063	-0.807	0.367	-1.306
-1.063	-0.807	1.446	-1.133
-1.309	-1.385	1.669	-0.613
-1.309	-1.385	1.222	-0.094
-0.634	-0.678	0.328	-0.181
-0.142	0.351	-0.211	-0.902
-1.309	-1.321	0.091	-1.364
-1.739	-1.771	0.17	-0.729
-1.37	-1.064	0.538	-1.219
-1.125	-0.678	0.67	-1.45
-1.432	-1.064	0.814	-1.97
-2.537	-2.35	0.657	-0.815
-2.169	-2.093	0.604	-0.556
-1.555	-1.321	0.21	-0.671
-1.862	-1.385	0.065	-1.191
-1.616	-1.257	1.183	-0.815
-0.572	-0.421	-0.066	-0.585
